"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","23,100.0","23,500.0","23,500.0","22,500.0","234.40K","0.43%"
"12/30/2021","23,000.0","21,600.0","23,050.0","21,550.0","339.80K","6.73%"
"12/29/2021","21,550.0","21,100.0","21,900.0","21,000.0","123.90K","1.89%"
"12/28/2021","21,150.0","21,100.0","21,250.0","20,850.0","151.80K","-0.70%"
"12/27/2021","21,300.0","21,500.0","21,800.0","20,800.0","107.20K","-0.93%"
"12/24/2021","21,500.0","20,800.0","21,500.0","20,800.0","145.30K","2.38%"
"12/23/2021","21,000.0","21,500.0","21,600.0","20,300.0","410.00K","-2.78%"
"12/22/2021","21,600.0","22,100.0","22,700.0","21,500.0","343.10K","-5.68%"
"12/21/2021","22,900.0","23,000.0","23,500.0","22,350.0","402.60K","-3.38%"
"12/20/2021","23,700.0","24,250.0","24,250.0","23,600.0","123.30K","-2.27%"
"12/17/2021","24,250.0","24,600.0","24,600.0","24,100.0","308.60K","-2.61%"
"12/16/2021","24,900.0","24,900.0","25,000.0","24,300.0","64.90K","0.81%"
"12/15/2021","24,700.0","24,500.0","25,400.0","24,400.0","94.50K","0.61%"
"12/14/2021","24,550.0","25,000.0","25,000.0","24,250.0","212.80K","-2.39%"
"12/13/2021","25,150.0","25,500.0","25,500.0","24,950.0","119.50K","-1.18%"
"12/10/2021","25,450.0","25,100.0","25,600.0","25,100.0","83.80K","-1.93%"
"12/09/2021","25,950.0","24,450.0","26,150.0","24,000.0","569.60K","5.92%"
"12/08/2021","24,500.0","25,500.0","25,650.0","24,500.0","99.00K","-3.92%"
"12/07/2021","25,500.0","25,000.0","25,500.0","24,000.0","126.80K","2.00%"
"12/06/2021","25,000.0","25,000.0","26,000.0","24,200.0","288.10K","-3.85%"
"12/03/2021","26,000.0","27,000.0","27,000.0","26,000.0","150.30K","-3.70%"
"12/02/2021","27,000.0","27,100.0","27,400.0","26,600.0","139.70K","-1.10%"
"12/01/2021","27,300.0","27,800.0","27,800.0","26,300.0","380.50K","5.00%"
"11/30/2021","26,000.0","26,250.0","26,700.0","26,000.0","195.90K","-0.57%"
"11/29/2021","26,150.0","25,400.0","26,500.0","25,200.0","177.40K","0.58%"
"11/26/2021","26,000.0","26,200.0","26,300.0","25,500.0","159.50K","-1.14%"
"11/25/2021","26,300.0","26,400.0","27,500.0","26,300.0","138.40K","-0.94%"
"11/24/2021","26,550.0","25,750.0","27,550.0","25,600.0","165.90K","3.11%"
"11/23/2021","25,750.0","25,400.0","26,000.0","25,000.0","286.30K","-1.72%"
"11/22/2021","26,200.0","27,500.0","27,500.0","26,000.0","185.90K","-5.59%"
"11/19/2021","27,750.0","29,850.0","29,850.0","26,700.0","705.20K","-0.54%"
"11/18/2021","27,900.0","25,600.0","27,900.0","25,600.0","1.07M","6.90%"
"11/17/2021","26,100.0","26,200.0","26,450.0","25,600.0","139.00K","-0.38%"
"11/16/2021","26,200.0","25,350.0","26,700.0","25,350.0","316.20K","2.34%"
"11/15/2021","25,600.0","26,000.0","26,300.0","25,600.0","232.30K","-1.92%"
"11/12/2021","26,100.0","26,700.0","26,700.0","25,600.0","214.40K","0.00%"
"11/11/2021","26,100.0","26,800.0","26,800.0","25,700.0","444.20K","-2.61%"
"11/10/2021","26,800.0","27,500.0","27,500.0","26,700.0","264.90K","-1.83%"
"11/09/2021","27,300.0","27,700.0","27,800.0","27,000.0","191.20K","-1.09%"
"11/08/2021","27,600.0","27,300.0","27,950.0","27,300.0","195.90K","1.10%"
"11/05/2021","27,300.0","26,800.0","27,300.0","26,350.0","296.90K","1.87%"
"11/04/2021","26,800.0","25,500.0","26,900.0","25,500.0","139.30K","1.90%"
"11/03/2021","26,300.0","27,100.0","27,400.0","26,300.0","391.50K","-2.95%"
"11/02/2021","27,100.0","28,000.0","28,000.0","27,000.0","593.40K","-2.17%"
"11/01/2021","27,700.0","28,000.0","28,400.0","27,700.0","218.70K","-1.42%"
"10/29/2021","28,100.0","27,550.0","28,300.0","27,000.0","515.50K","2.00%"
"10/28/2021","27,550.0","28,450.0","28,450.0","27,350.0","227.20K","-1.96%"
"10/27/2021","28,100.0","28,900.0","29,000.0","28,000.0","266.10K","-2.09%"
"10/26/2021","28,700.0","27,000.0","28,850.0","26,850.0","170.20K","6.30%"
"10/25/2021","27,000.0","27,500.0","27,500.0","26,700.0","312.90K","-3.23%"
"10/22/2021","27,900.0","28,850.0","28,850.0","27,100.0","367.30K","-1.06%"
"10/21/2021","28,200.0","27,710.4","28,395.8","27,612.5","167.10K","0.70%"
"10/20/2021","28,004.2","29,179.2","29,179.2","27,416.7","166.10K","-2.05%"
"10/19/2021","28,591.7","28,395.8","29,179.2","28,395.8","79.10K","-0.68%"
"10/18/2021","28,787.5","29,375.0","29,472.9","28,689.6","176.10K","-2.00%"
"10/15/2021","29,375.0","30,354.2","30,354.2","29,081.3","160.60K","0.00%"
"10/14/2021","29,375.0","28,787.5","29,570.8","28,787.5","191.80K","0.00%"
"10/13/2021","29,375.0","29,913.6","30,060.4","29,375.0","220.00K","-4.15%"
"10/12/2021","30,647.9","31,284.4","31,431.3","30,060.4","177.00K","-2.03%"
"10/11/2021","31,284.4","32,802.1","32,802.1","30,696.9","450.40K","1.91%"
"10/08/2021","30,696.9","29,228.1","30,696.9","28,885.4","330.70K","7.00%"
"10/07/2021","28,689.6","28,200.0","29,081.3","27,710.4","145.40K","1.74%"
"10/06/2021","28,200.0","27,857.3","29,081.3","27,612.5","97.30K","-0.69%"
"10/05/2021","28,395.8","28,493.8","28,493.8","27,416.7","329.10K","-0.69%"
"10/04/2021","28,591.7","28,591.7","29,081.3","28,395.8","270.90K","-1.68%"
"10/01/2021","29,081.3","28,983.3","30,452.1","28,983.3","202.60K","0.34%"
"09/30/2021","28,983.3","29,375.0","29,766.7","28,591.7","236.80K","-1.33%"
"09/29/2021","29,375.0","28,493.8","29,864.6","28,493.8","166.00K","-1.64%"
"09/28/2021","29,864.6","30,843.8","30,941.7","29,326.1","270.10K","-3.17%"
"09/27/2021","30,843.8","31,627.1","31,627.1","30,354.2","205.20K","3.28%"
"09/24/2021","29,864.6","29,081.3","29,864.6","28,689.6","307.20K","0.99%"
"09/23/2021","29,570.8","30,158.3","31,039.6","29,570.8","200.00K","-1.95%"
"09/22/2021","30,158.3","31,333.3","31,333.3","30,158.3","243.90K","-2.53%"
"09/21/2021","30,941.7","28,738.6","31,480.2","28,738.6","410.90K","1.12%"
"09/20/2021","30,599.0","32,851.1","32,851.1","30,354.2","314.40K","-5.30%"
"09/17/2021","32,312.5","31,920.8","32,312.5","30,158.3","387.20K","5.60%"
"09/16/2021","30,599.0","30,354.2","31,039.6","30,158.3","640.50K","-2.34%"
"09/15/2021","31,333.3","32,312.5","34,172.9","31,333.3","1.06M","-6.16%"
"09/14/2021","33,389.6","34,270.8","34,270.8","32,067.7","1.19M","4.12%"
"09/13/2021","32,067.7","32,067.7","32,067.7","31,969.8","642.10K","6.85%"
"09/10/2021","30,011.5","29,962.5","30,011.5","29,766.7","843.10K","6.98%"
"09/09/2021","28,053.1","28,053.1","28,053.1","26,731.3","1.50M","6.90%"
"09/08/2021","26,241.7","26,241.7","26,241.7","26,192.7","679.00K","6.99%"
"09/07/2021","24,528.1","24,528.1","24,528.1","24,479.2","1.28M","6.82%"
"09/06/2021","22,961.5","22,961.5","22,961.5","21,492.7","1.44M","6.83%"
"09/01/2021","21,492.7","20,121.9","21,492.7","20,072.9","938.60K","6.81%"
"08/31/2021","20,121.9","19,779.2","20,268.8","19,534.4","501.80K","0.00%"
"08/30/2021","20,121.9","20,562.5","20,562.5","19,093.8","638.90K","2.75%"
"08/27/2021","19,583.3","19,387.5","20,072.9","18,702.1","253.00K","1.52%"
"08/26/2021","19,289.6","18,897.9","20,072.9","18,408.3","331.10K","2.34%"
"08/25/2021","18,849.0","18,653.1","18,897.9","18,212.5","272.50K","-0.26%"
"08/24/2021","18,897.9","18,408.3","18,897.9","18,212.5","299.00K","0.00%"
"08/23/2021","18,897.9","18,995.8","18,995.8","18,604.2","153.30K","-0.77%"
"08/20/2021","19,044.8","19,093.8","19,485.4","18,897.9","536.30K","0.00%"
"08/19/2021","19,044.8","19,093.8","19,436.5","18,897.9","309.90K","-2.02%"
"08/18/2021","19,436.5","18,897.9","19,485.4","18,800.0","399.30K","-0.50%"
"08/17/2021","19,534.4","19,779.2","19,877.1","18,800.0","446.90K","-2.45%"
"08/16/2021","20,024.0","19,681.3","21,541.7","19,681.3","297.70K","-2.39%"
"08/13/2021","20,513.5","20,758.3","20,905.2","20,513.5","639.80K","-6.89%"
"08/12/2021","22,031.3","22,863.5","22,863.5","21,394.8","735.20K","2.98%"
