"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","31,278","30,496","31,278","30,027","619.86K","2.56%"
"12/30/2021","30,496","29,949","30,496","29,323","535.71K","1.56%"
"12/29/2021","30,027","30,105","30,262","29,714","476.88K","0.00%"
"12/28/2021","30,027","29,558","30,262","29,206","605.02K","3.50%"
"12/27/2021","29,011","28,737","29,323","28,737","240.81K","0.54%"
"12/24/2021","28,854","29,402","29,714","28,854","388.90K","-1.60%"
"12/23/2021","29,323","30,027","30,105","28,541","344.65K","-2.34%"
"12/22/2021","30,027","30,614","30,614","29,323","242.47K","0.00%"
"12/21/2021","30,027","28,463","30,340","28,307","613.21K","4.92%"
"12/20/2021","28,620","28,854","29,714","28,580","413.84K","-1.21%"
"12/17/2021","28,971","29,089","29,323","28,854","405.91K","-0.67%"
"12/16/2021","29,167","29,441","30,183","29,167","269.33K","-0.93%"
"12/15/2021","29,441","29,714","29,871","29,402","305.90K","-0.13%"
"12/14/2021","29,480","29,832","30,027","28,893","305.64K","-1.18%"
"12/13/2021","29,832","30,105","30,183","29,245","427.39K","0.40%"
"12/10/2021","29,714","29,441","29,714","29,167","329.69K","0.53%"
"12/09/2021","29,558","28,932","29,714","28,620","445.55K","2.16%"
"12/08/2021","28,932","29,089","29,323","28,541","264.08K","0.00%"
"12/07/2021","28,932","28,268","29,245","28,150","356.41K","4.23%"
"12/06/2021","27,759","29,050","30,457","27,408","803.88K","-5.59%"
"12/03/2021","29,402","31,278","31,826","29,402","699.66K","-6.00%"
"12/02/2021","31,278","31,747","31,826","31,122","332.24K","0.00%"
"12/01/2021","31,278","31,513","32,060","30,887","548.37K","-1.23%"
"11/30/2021","31,669","31,747","32,451","31,435","431.99K","0.74%"
"11/29/2021","31,435","30,887","31,513","30,887","584.82K","-1.71%"
"11/26/2021","31,982","32,608","33,194","31,982","833.94K","-2.15%"
"11/25/2021","32,686","33,233","33,233","32,451","544.79K","-0.95%"
"11/24/2021","32,999","32,842","33,624","32,842","318.94K","1.69%"
"11/23/2021","32,451","31,278","33,155","31,200","844.68K","2.09%"
"11/22/2021","31,786","34,367","34,953","31,747","1.26M","-6.87%"
"11/19/2021","34,132","35,657","36,752","33,624","1.14M","-4.28%"
"11/18/2021","35,657","34,797","36,283","34,641","1.17M","2.47%"
"11/17/2021","34,797","34,562","35,344","34,562","638.91K","-0.22%"
"11/16/2021","34,875","35,579","35,579","34,406","720.12K","-1.98%"
"11/15/2021","35,579","34,562","36,361","34,406","1.35M","1.56%"
"11/12/2021","35,032","35,188","36,205","34,406","881.51K","-0.44%"
"11/11/2021","35,188","35,188","35,931","34,367","1.40M","3.57%"
"11/10/2021","33,976","31,669","33,976","31,669","2.13M","6.89%"
"11/09/2021","31,786","32,334","32,608","31,708","721.14K","-1.69%"
"11/08/2021","32,334","32,920","33,155","32,138","662.83K","0.12%"
"11/05/2021","32,295","31,122","32,686","31,122","503.74K","3.77%"
"11/04/2021","31,122","31,278","31,552","30,574","753.37K","-0.50%"
"11/03/2021","31,278","32,920","32,920","31,200","1.84M","-4.99%"
"11/02/2021","32,920","33,077","33,311","32,373","1.09M","-0.47%"
"11/01/2021","33,077","33,389","34,015","32,842","1.38M","-0.59%"
"10/29/2021","33,272","33,077","33,937","32,412","1.37M","2.65%"
"10/28/2021","32,412","30,379","32,412","30,379","1.72M","6.97%"
"10/27/2021","30,301","30,183","30,574","30,066","1.18M","0.65%"
"10/26/2021","30,105","30,105","30,183","29,636","652.85K","0.00%"
"10/25/2021","30,105","29,949","30,653","29,871","1.02M","0.92%"
"10/22/2021","29,832","29,558","29,949","29,323","843.53K","0.93%"
"10/21/2021","29,558","29,832","29,832","29,128","649.14K","0.00%"
"10/20/2021","29,558","30,027","30,262","29,245","786.36K","-1.31%"
"10/19/2021","29,949","30,340","30,809","29,832","1.18M","-1.79%"
"10/18/2021","30,496","30,887","31,278","30,105","1.50M","1.30%"
"10/15/2021","30,105","29,402","30,105","29,245","1.45M","3.35%"
"10/14/2021","29,128","29,128","29,480","29,011","901.71K","0.00%"
"10/13/2021","29,128","28,932","29,480","28,932","493.76K","0.40%"
"10/12/2021","29,011","29,714","29,988","28,932","643.52K","-2.11%"
"10/11/2021","29,636","29,949","30,262","29,323","569.85K","-0.26%"
"10/08/2021","29,714","29,714","30,027","28,932","467.93K","0.00%"
"10/07/2021","29,714","29,871","29,949","29,167","498.24K","0.00%"
"10/06/2021","29,714","29,323","29,949","29,323","953.89K","1.47%"
"10/05/2021","29,284","29,402","29,480","28,932","767.44K","-0.40%"
"10/04/2021","29,402","29,323","29,949","28,620","574.97K","0.27%"
"10/01/2021","29,323","28,932","30,262","28,502","671.27K","0.53%"
"09/30/2021","29,167","28,776","30,105","28,424","957.73K","1.50%"
"09/29/2021","28,737","29,011","29,167","28,072","569.34K","-2.26%"
"09/28/2021","29,402","29,011","29,636","28,229","513.46K","-0.53%"
"09/27/2021","29,558","31,200","31,239","29,558","487.75K","-5.03%"
"09/24/2021","31,122","31,669","32,138","30,496","1.12M","0.63%"
"09/23/2021","30,926","29,011","30,926","29,011","1.04M","6.89%"
"09/22/2021","28,932","28,932","28,932","28,541","429.95K","0.27%"
"09/21/2021","28,854","28,854","29,089","28,541","433.79K","-0.81%"
"09/20/2021","29,089","28,776","29,323","28,463","502.59K","0.54%"
"09/17/2021","28,932","28,932","29,480","28,932","500.16K","0.00%"
"09/16/2021","28,932","28,737","28,932","28,229","508.60K","0.00%"
"09/15/2021","28,932","29,284","29,519","28,229","446.32K","-1.07%"
"09/14/2021","29,245","29,636","29,636","28,776","638.66K","-1.32%"
"09/13/2021","29,636","30,731","30,887","29,558","449.00K","-3.32%"
"09/10/2021","30,653","30,496","31,122","29,949","674.08K","0.77%"
"09/09/2021","30,418","29,714","30,574","29,714","530.21K","1.83%"
"09/08/2021","29,871","30,496","30,887","29,402","490.05K","-2.80%"
"09/07/2021","30,731","31,826","31,904","30,731","667.17K","-3.44%"
"09/06/2021","31,826","31,904","32,021","31,200","604.77K","0.13%"
"09/01/2021","31,786","32,060","32,060","31,044","577.02K","-0.73%"
"08/31/2021","32,021","30,809","32,060","30,770","845.32K","4.33%"
"08/30/2021","30,692","30,692","30,887","29,714","586.48K","0.13%"
"08/27/2021","30,653","29,714","30,887","29,636","561.80K","5.52%"
"08/26/2021","29,050","27,290","29,050","27,290","531.87K","6.91%"
"08/25/2021","27,173","28,932","28,971","26,977","519.21K","-6.08%"
"08/24/2021","28,932","30,887","31,005","28,620","623.82K","-5.61%"
"08/23/2021","30,653","30,887","31,356","30,183","747.23K","-0.76%"
"08/20/2021","30,887","31,044","32,060","30,340","753.37K","-0.51%"
"08/19/2021","31,044","30,574","31,669","30,574","760.15K","-3.17%"
"08/18/2021","32,060","32,842","32,842","32,060","678.43K","-2.61%"
"08/17/2021","32,920","33,468","33,468","32,608","545.81K","-1.40%"
"08/16/2021","33,389","33,233","33,859","33,116","665.90K","1.67%"
"08/13/2021","32,842","32,451","32,920","32,451","745.95K","1.20%"
"08/12/2021","32,451","32,842","33,077","32,412","376.75K","-0.96%"
"08/11/2021","32,764","33,077","33,155","32,217","458.85K","-0.47%"
"08/10/2021","32,920","32,842","33,233","32,451","475.48K","0.24%"
"08/09/2021","32,842","33,233","33,233","32,451","443.25K","-0.71%"
"08/06/2021","33,077","32,764","33,389","32,764","566.27K","1.20%"
"08/05/2021","32,686","32,803","32,803","32,412","378.54K","-0.36%"
"08/04/2021","32,803","32,295","33,038","32,295","311.27K","0.00%"
